Zachary A. Krantz, CFP®
Zachary Perigo, CFP®
Ben H. Gesink, CFP®
Mark K. Simpson, CFP®
Pierre-Emmanuel A. Jouve, CFP®
Paul M. Dehmer, CFP®
Allen Regan, CFP®
Jordan A. Colman, CFP®
Matthew G. Addington, CFP®
Kenneth C. Tindall, CFP®
Carlos C. Celaya, CFP®
Steve Carlisle, CFP®
Matthew Price, CFP®
Christopher C. Crotty, CFP®
Crystal Rau, CFP®
Charles T. Lawson, CFP®
Thomas A. Ennis, CFP®
Timothy J. Watters, CFP®
Brent M. Thomas, CFP®
Tanner V. Link, CFP®
Julia S. Monroe, CFP®
Brandon Smith, CFP®
Matthew P. Brown, CFP®
Melissa Engbert, CFP®
Darren Y. Yoshioka, CFP®
Dominickey M. Rand, CFP®
Kirk E. Klein, CFP®
Darren R. Turner, CFP®
Jeffrey K. Ruffing, CFP®
Rachel O. Infante, CFP®
Thomas A. Baird, CFP®
Ryan P. Kenny, CFP®
James J. Williams, CFP®
Mark A. Mucciacciaro, CFP®
David M. Clausen, CFP®
Scott R. Armey, CFP®
Jimmy L. Bailey, CFP®
Lavon H. Welch, CFP®
Patrick J. Willcutts, CFP®
Stephanie H. Spies, CFP®
Todd A. Herman, CFP®
Bruce C. Kuehl, CFP®
Kevin T. Henry, CFP®
Charles M. Fagan, CFP®
Jeremy B. Graff, CFP®
Connor Y. Lenartowicz, CFP®
William R. Welden, CFP®
James M. Eicholzer, CFP®
Gregory M. Visconti, CFP®
Sarah Auernhammer, CFP®
Perry J. Mattern, CFP®
Darrell E. Fox, CFP®
Ryan R. McManus, CFP®
Daniel J. Papuga, CFP®
Michael A. McLaughlin, CFP®
Daniel E. Bonin, CFP®
Lacey E. Buteyn, CFP®
Patrick C. Gaul, CFP®
Jacob A. Kersey, CFP®
William Volk, CFP®
Kathleen M. Donnelly, CFP®
Laura J. Penner, CFP®
Michael S. Schwartz, CFP®
Cynthia Keitel, CFP®
John Newhouse, CFP®
Matthew Adams, CFP®
Jeffrey D. Moscaret, CFP®
Ryan T. Narasaki, CFP®
Kelly M. Light, CFP®
Michael Bush, CFP®
Milad Taghehchian, CFP®
Angela O'Neill, CFP®
John  Hayek , CFP®
Jandin Miller, CFP®
Mark A. Heisler, CFP®
Andrew G. Gifford, CFP®
Glenn I. Yasukochi, CFP®
Michael C. Warner, CFP®
Daniel Clarke, CFP®
Thomas C. Vaccaro, CFP®
Jason M. King, CFP®
Jonathan S. Jacobus, CFP®
Jean M. Gadea, CFP®
Jordan Andre, CFP®
Thomas A. Lampert, CFP®
Michael R. Wojtek, CFP®
John H. Taylor, CFP®
Katherine K. Waters, CFP®
Bill Cremin, CFP®
Jon M. Lewis, CFP®
Morgan  K. Ranstrom, CFP®
Louis M. Rusinowitz, CFP®
Eric J. Long, CFP®
Corey  L. Jackson, CFP®
Amanda Burrows, CFP®
Ross C. Burnam, CFP®
Mark D. Wilcox, CFP®
Melvin D. Sikes, CFP®
Erick Silva, CFP®
Michael K. Green, CFP®
fany m. hirales, CFP®
Jason Dugger, CFP®
Aaron Cramer, CFP®
Andy W. Saeger, CFP®
Raffaele B. Mari, CFP®
Bradley Jurik, CFP®
Peggy F. Frye, CFP®
Daniel L. Carlile, CFP®
Earl Micklewright, CFP®
JENNIFER HODSON, CFP®
Mark A. Jongeward, CFP®
Bryan Boyd, CFP®
Nina L. Abelman, CFP®
James T. Spach, CFP®
Rafael Avramov, CFP®
John Snyder, CFP®
Matthew M. Carter, CFP®
J. B. Preston, CFP®
Michael J. Peters, CFP®
William  R. Benoit, CFP®
Benjamin T. Redfern, CFP®
Tali Alon, CFP®
Reid A. Harris, CFP®
James R. Lingelbach, CFP®
Anithah Neelakanda-Pillai, CFP®
Christopher J. Menard, CFP®
Kevin F. McGrath, CFP®
Daniel B. Rohlfing, CFP®
Lauren H. Feeney, CFP®
Russell C. Reinhart, CFP®
Thomas L. Walker, CFP®
Richard A. Allridge, CFP®
Bryan J. Parmley, CFP®
Lisa M. Barrett, CFP®
Richard Habib, CFP®
Scott Saal, CFP®
Hanna E. LaHood, CFP®
Connor Golden, CFP®
Mary E. Williams, CFP®
John F. Short, CFP®
Rachel M. Brown, CFP®
Andrew T. Thompson, CFP®
Daniel W. McNulty, CFP®
Anthony J. Unruh, CFP®
Kristen M. Rueth Allen, CFP®
Austin L. Drake, CFP®
Kyle Breitzman, CFP®
Jeffrey R. Stewart, CFP®
Thomas S. Wegner, CFP®
Robert B. Walsh, CFP®
Dylan T. Cooper, CFP®
Sean M. Fairclough, CFP®
Willis R. Deaton, CFP®
David Milonas, CFP®
Andrew Fraley, CFP®
Maxwell Taylor, CFP®
Jeffrey Thompson, CFP®
Raymond Morrill, CFP®
BENJAMEN J. SISK, CFP®
Christopher E. Noviello, CFP®
Michael A. Reed, CFP®
Alex Wieme, CFP®
Lee F. Bye, CFP®
Katelynn Weber, CFP®
Karen E. Overcash, CFP®
Lisa M. Brinig, CFP®
John E. Ruppel, CFP®
Claire Emory, CFP®
Robert J. Phillips, CFP®
William H. Eggert, CFP®
John J. Sartaine, CFP®
Randall S. Larson, CFP®
Phillip A. Dyer, CFP®
Grey Terry, CFP®
Levi C. Wade, CFP®
Dennis O. Linn, CFP®
Daniel K. Key, CFP®
Allan H. Bates, CFP®
Steven LaRosa, CFP®
William D. Burke, CFP®
Jaime A. Bollinger, CFP®
Kelly M. Kuennen, CFP®
Anthony M. Corrao, CFP®
Robert E. Moranville, CFP®
Daniel Leicht, CFP®
Shirley J. Borden, CFP®
Marc P. Cassalina, CFP®
Ryan C. Kemp, CFP®
Justin Struble, CFP®
henry  portillo, CFP®
Mary A. Hofmeister, CFP®
Kate Gregory Walker, CFP®
Pamela S. Landy, CFP®
Bruce R. Barton, CFP®
Katherine E. Medina, CFP®
Darren C. White, CFP®
Scott C. Dingman, CFP®
Grant M. Thayer, CFP®
Donna H. Gordon, CFP®
Todd R. Moss, CFP®
Matthew Ports, CFP®
Mark  M. Frye, CFP®
Noa Hoffman, CFP®
Stephen E. Fletcher, CFP®
Kyle Wagner, CFP®
John W. Tegtmeier, CFP®
Christopher A. Perry, CFP®
Daniel C. Bertolucci, CFP®
Walker Shelton, CFP®
Clark T. Cookston, CFP®
Nancy L. Mangrum, CFP®
Chadwick D. Virgil, CFP®
Nathan Brown, CFP®
Eugene  M. Gillmor, CFP®
Joshua B. Murty, CFP®
Barry D. Miller, CFP®
John H. Seo, CFP®
Garrett Miller, CFP®
Michael D. Petersen, CFP®
Albert R. Crimaldi, CFP®
Jared L. Simon, CFP®
Richard M. O'Brien, CFP®
Xiaoyong Wang, CFP®
Jason P. Seibert, CFP®
Chad Fitzloff, CFP®
David L. Reppas, CFP®
Steven C. O'Connell, CFP®
Bo G. Pihl, CFP®
John J. Checki, CFP®
Trevor M. Hagy, CFP®
Bethany Lardaro, CFP®
Matthew J. Faubion, CFP®
Marc A. Aguilar, CFP®
Jacob  W. Dotson, CFP®
Robert H. Matofsky, CFP®
Jared Jameson, CFP®
John H. Maser, CFP®
Neil J. Hoyt, CFP®
Joseph D. Biegel, CFP®
Shannon R. McGinnis, CFP®
Evan T. Swanson, CFP®
Karen W. McDade, CFP®
Marlene A. Dattilo, CFP®
Nathaniel P. Nesbitt, CFP®
Jacquelyn Davis, CFP®
Jared Paul, CFP®
Tanner C. Castle, CFP®
Todd D. Elliott, CFP®
Guy Eckman, CFP®
Nino G. Pavan, CFP®
Jared Ong, CFP®
Michael Randall, CFP®
Matthew J. Pejkovic, CFP®
Briana N. Morris, CFP®
Matthew Welsh, CFP®
Robert G. Burmeister, CFP®
Timothy J. Maguire, CFP®
J. D. Rivers, CFP®
Gregory DePalma, CFP®
Jeffrey Perry, CFP®
Paul  J. Fallace, CFP®
Lamont A. Brown, CFP®
Scott Stauffer, CFP®
Lyle M. Murakami, CFP®
Christopher Schiffer, CFP®
Jeffery L. Whitaker, CFP®
Robert F. O'Brien, CFP®
Ashley R. Martella, CFP®
David L. Fountain, CFP®
Chris A. Leap, CFP®
Paul Hynes, CFP®
Glenda R. Suchy, CFP®
James Bauman, CFP®
Larry A. Fletcher, CFP®
Ryan P. Merchant, CFP®
William A. Wood, CFP®
Jeremiah J. Lee, CFP®
Linda A. Lampman, CFP®
Jenifer Connors, CFP®
Mark A. Faccone, CFP®
James Z. Pendleton, CFP®
William B. Keel, CFP®
Phyllis H. Carlton, CFP®
Bruce A. Zirpel, CFP®
Brian M. McCormack, CFP®
William K. Wrenn, CFP®
Kevin G. Duffy, CFP®
Martin E. Leonard, CFP®
Theodore Robbins, CFP®
Jana G. Basden, CFP®
Richard J. Morowczynski, CFP®
James P. Roche, CFP®
Robert B. Mauterstock, CFP®
Craig B. Vassell, CFP®
Chad J. Williams, CFP®
Christian B. Mancera, CFP®
Christopher Gallo, CFP®
Corissa L. Landphair, CFP®
Scott R. Posner, CFP®
Patricia A. Hall, CFP®
James Shannon, CFP®
Marla Sherrod, CFP®
Josiah C. McDaniel, CFP®
Samuel B. Baldwin, CFP®
Thomas J. Aldrich, CFP®
Raquel R. Lopez, CFP®
Max S. Hoffman, CFP®
Marc J. Walters, CFP®
Brian E. Wilverding, CFP®
Stephanie A. Mihalakos, CFP®
Richard G. Easterbrook, CFP®
Brian G. Fay, CFP®
Joshua M. Glenn, CFP®
Stanley E. Startzell, CFP®
Trina R. Mitsch, CFP®
Christopher R. Horton, CFP®
Douglas A. Crumley, CFP®
Michael J. Janvrin, CFP®
Kyle Zimmerman, CFP®
Andrew Marshall, CFP®
BRIAN M. VANHEVEL, CFP®
Devin B. Pope, CFP®
Audrey Fersten, CFP®
Sueanne Schulman, CFP®
Patrick A. McNamara, CFP®
Travis Babb, CFP®
Jonathan Bernstein, CFP®
Karen M. Walker, CFP®
Josh Stilley, CFP®
Daniel R. LaMacchia, CFP®
Jonathan S. Merckens, CFP®
David R. Bretz, CFP®
Stacy E. Blue, CFP®
John W. King, CFP®
Benjamin Holden, CFP®
Justin C. Pigeon, CFP®
Nancy J. Hite, CFP®
Kenneth A. Ulrich, CFP®
Michael  A. Post, CFP®
Lee A. White, CFP®
Kimberlee A. Spencer, CFP®
Kristi Crockett, CFP®
Jill L. Ward, CFP®
Ronald F. Scarborough, CFP®
Joel T. Sauer, CFP®
Jeffrey C. Paladini, CFP®
Timothy Armanious, CFP®
Anita L. Hawks, CFP®
Robert L. Godown, CFP®
Austin D. Cole, CFP®
Carolyn S. Bishop, CFP®
Ellen Osthus , CFP®
Susan B. Haupt, CFP®
Elliot Evans, CFP®
Terrance S. Elder, CFP®
Glenn Fischer, CFP®
Kevin M. Crosby, CFP®
Lucas Vignari, CFP®
Isaac Allmaras, CFP®
Charles A. Creekmore, CFP®
Theodore K. Bugenski, CFP®
Jeffrey T. Lenhart, CFP®
David I. Essay, CFP®
Nicholas J. Dawson, CFP®
JOSEPH P. DEFAZIO, CFP®
Philip J. Bender, CFP®
Nicholas J. Reiland, CFP®
Francisco R. Valdivieso, CFP®
Daniel L. Youngs, CFP®
Patrick D. Runyen, CFP®
Nicholas Gertsema, CFP®
Timothy Andrus, CFP®
Jeffrey W. Tuttle, CFP®
Eric Levy, CFP®
Robert G. DeWitt, CFP®
William M. Holliday, CFP®
Henry J. Cormier, CFP®
Robert C. Damante, CFP®
Jason A. Reesey, CFP®
Maddock May, CFP®
Daniel A. Shontere, CFP®
Federico S. Londono Castillo, CFP®
John D. Palic , CFP®
Megan Thompson, CFP®
Giulio Barrasso, CFP®
Jason A. Thompson, CFP®
Donald J. Chudzik, CFP®
Donald D. Burt, CFP®
Richard A. Barker, CFP®
Chad A. Williams, CFP®
Kristen M. DeJoseph, CFP®
Robert T. Thomas, CFP®
Brian M. Callery, CFP®
HAIGUANG YIN, CFP®
Michael E. Williams, CFP®
Margot M. Dwyer, CFP®
Jeremy Hus, CFP®
Sidney Polk, CFP®
Angel E. Rivera, CFP®
Salvatore Schibell, CFP®
Natalie Foy, CFP®
Stuart L. Gillin, CFP®
Justin W. Swift, CFP®
Randolph P. Kent, CFP®
Lauren Leidner Bloom, CFP®
Corina L. Cicero, CFP®
Daniel S. Lee, CFP®
Simone  Charles Garcon, CFP®
Brannon N. Brown, CFP®
Joel D. Bogenschuetz, CFP®
Preston P. Forman, CFP®
Ashley  J. Wilken, CFP®
Kurt D. Hare, CFP®
Scott Cousino, CFP®
Kelon C. Hall, CFP®
Kevin D. Bruns, CFP®
Robert  A. Moore , CFP®
Derek J. Patla, CFP®
Stephanie J. Rossi, CFP®
Randall E. Schroeder, CFP®
Wayne Worthington, CFP®
Kristy N. Nishida, CFP®
Mary E. Harn, CFP®
Steven M. Kersey, CFP®
Andrew S. Lipson, CFP®
Joseph K. Calhoun, CFP®
Steven G. Albritton, CFP®
Robert W. Schefft, CFP®
James C. Weimer, CFP®
Darren J. Agena, CFP®
Gregg A. Whitkanack, CFP®
Jeffrey S. Fortson, CFP®
Madeline A. Vraa, CFP®
Aaron T. Kowal, CFP®
David J. Washburn, CFP®
Marc B. Schindler, CFP®
Kieran Watson, CFP®
Anthony L. Allbright, CFP®
Stephen M. Ortiz, CFP®
Douglas E. Lehman, CFP®
Jacob D. Favaro, CFP®
Frank W. Faverzani, CFP®
Alexandra J. Burke, CFP®
John C. Bush, CFP®
Robert E. Lee, CFP®
Derek T. Williams, CFP®
Linda J. Fox, CFP®
Joseph W. Morrissey, CFP®
Grant Ter-Avanesyan, CFP®
Robin L. Faulkner-Harrison, CFP®
Frank L. Forester, CFP®
Michael R. Wiedner, CFP®
Craig Lindemann, CFP®
Ryan M. Zwarg, CFP®
Bruce D. Duggins, CFP®
Paul J. Shortier, CFP®
Nicholas J. Brannen, CFP®
Richard C. Hogan, CFP®
Audrey L. Mines, CFP®
Nolan B. Jeter, CFP®
Brent J. Boraas, CFP®
William W. Grooms, CFP®
Peter J. Zambelletti, CFP®
Eric C. Chen, CFP®
Aaron R. Krasney, CFP®
Danielle R. Holmes, CFP®
Joseph G. Olson, CFP®
Teresa M. Marriner, CFP®
Nicholas J. Parzych, CFP®
Danielle B. Belson Kahn, CFP®
Preston  R. Speece, CFP®
John W. Coleman, CFP®
Nathan Sorensen, CFP®
Karen L. Diamond, CFP®
Joshua Engels, CFP®
John D. Billington, CFP®
John E. Helms, CFP®
David R. Chapman, CFP®
Tong Ji, CFP®
Richard J. Schlesinger, CFP®
Jerrold S. Wicentowski, CFP®
Robert D. Enright, CFP®
Kevin M. Wright, CFP®
Weiwei Jin, CFP®
Kelly L. Baumbach, CFP®
Stevan A. Rexroad, CFP®
Mark R. Matulia, CFP®
Kadie Hare, CFP®
Mark L. Merlotti, CFP®
Daryl K. Miller, CFP®
Scott D. Jones, CFP®
Aaron Buczek, CFP®
Ryan W. Garland, CFP®
Bret Verstegen, CFP®
Tiago X. Lima, CFP®
Jennifer A. Youker, CFP®
LaVelle B. West, CFP®
Marla R. Chambers, CFP®
Lindsey G. Pechan  , CFP®
Frank O. Akridge, CFP®
Daniel J. Rench, CFP®
